Accession	BioSampleAccession	BioSampleName	SequenceLength	SequenceDefinition
CP021177.1	SAMN06828737	Escherichia coli strain 5CRE51 plasmid p5CRE51-NDM-9 sequence.	154099	Escherichia coli strain 5CRE51 plasmid p5CRE51-NDM-9 sequence.
CP021179.1	SAMN06808253	Escherichia coli strain 81009 chromosome, complete genome.	5012084	Escherichia coli strain 81009 chromosome, complete genome.
CP021180.1	SAMN06808253	Escherichia coli strain 81009 plasmid pEC-81009, complete sequence.	135720	Escherichia coli strain 81009 plasmid pEC-81009, complete sequence.
CP021202.1	SAMN06924979	Escherichia coli strain Z1002 chromosome, complete genome.	5177498	Escherichia coli strain Z1002 chromosome, complete genome.
CP021203.1	SAMN06924979	Escherichia coli strain Z1002 plasmid p1002-1, complete sequence.	183508	Escherichia coli strain Z1002 plasmid p1002-1, complete sequence.
CP021207.1	SAMN06925129	Escherichia coli strain strain Z247 chromosome, complete genome.	5013813	Escherichia coli strain strain Z247 chromosome, complete genome.
CP021209.1	SAMN06925129	Escherichia coli strain strain Z247 plasmid p2474-MCR1, complete sequence.	223982	Escherichia coli strain strain Z247 plasmid p2474-MCR1, complete sequence.
CP021288.1	SAMN06920354	Escherichia coli strain PA45B chromosome, complete genome.	5074754	Escherichia coli strain PA45B chromosome, complete genome.
CP021289.1	SAMN06920354	Escherichia coli strain PA45B plasmid pPA45B, complete sequence.	147172	Escherichia coli strain PA45B plasmid pPA45B, complete sequence.
CP021335.1	SAMN06924970	Escherichia coli strain 95JB1 chromosome, complete genome.	5347911	Escherichia coli strain 95JB1 chromosome, complete genome.
CP021336.1	SAMN06924970	Escherichia coli strain 95JB1 plasmid p95JB1A, complete sequence.	86922	Escherichia coli strain 95JB1 plasmid p95JB1A, complete sequence.
CP021339.1	SAMN06947002	Escherichia coli strain 95NR1 chromosome, complete genome.	5467988	Escherichia coli strain 95NR1 chromosome, complete genome.
CP021340.1	SAMN06947002	Escherichia coli strain 95NR1 plasmid p95NR1A, complete sequence.	86917	Escherichia coli strain 95NR1 plasmid p95NR1A, complete sequence.
CP021454.1	SAMN07162922	Escherichia coli strain H105, complete sequence.	4978342	Escherichia coli strain H105, complete sequence.
CP021532.1	SAMN04014990	Escherichia coli strain AR_0149, complete genome.	4830167	Escherichia coli strain AR_0149, complete genome.
CP021534.1	SAMN04014990	Escherichia coli strain AR_0149 plasmid tig00000221, complete sequence.	46161	Escherichia coli strain AR_0149 plasmid tig00000221, complete sequence.
CP021535.1	SAMN04014960	Escherichia coli strain AR_0119, complete genome.	5029162	Escherichia coli strain AR_0119, complete genome.
CP021537.1	SAMN04014960	Escherichia coli strain AR_0119 plasmid unitig_3, complete sequence.	97474	Escherichia coli strain AR_0119 plasmid unitig_3, complete sequence.
CP021683.1	SAMN04015003	Escherichia coli strain AR_0162, complete genome.	4810234	Escherichia coli strain AR_0162, complete genome.
CP021689.1	SAMN04014899	Escherichia coli strain AR_0058, complete genome.	4940441	Escherichia coli strain AR_0058, complete genome.
CP021690.1	SAMN04014899	Escherichia coli strain AR_0058 plasmid tig00007555j7554, complete sequence.	163045	Escherichia coli strain AR_0058 plasmid tig00007555j7554, complete sequence.
CP021691.1	SAMN04014992	Escherichia coli strain AR_0151, complete genome.	4862952	Escherichia coli strain AR_0151, complete genome.
CP021720.1	SAMN04014969	Escherichia coli strain AR_0128 plasmid tig00000793, complete sequence.	216378	Escherichia coli strain AR_0128 plasmid tig00000793, complete sequence.
CP021722.1	SAMN04014969	Escherichia coli strain AR_0128, complete genome.	4967401	Escherichia coli strain AR_0128, complete genome.
CP021726.1	SAMN07187744	Escherichia coli strain Combat11I9 chromosome, complete genome.	5025115	Escherichia coli strain Combat11I9 chromosome, complete genome.
CP021732.1	SAMN04014955	Escherichia coli strain AR_0114, complete genome.	4786118	Escherichia coli strain AR_0114, complete genome.
CP021734.1	SAMN04014955	Escherichia coli strain AR_0114 plasmid unitig_2, complete sequence.	85195	Escherichia coli strain AR_0114 plasmid unitig_2, complete sequence.
CP021736.1	SAMN04014991	Escherichia coli strain AR_0150, complete genome.	4864149	Escherichia coli strain AR_0150, complete genome.
CP021840.1	SAMN07192703	Escherichia coli strain EC974 chromosome, complete genome.	5167701	Escherichia coli strain EC974 chromosome, complete genome.
CP021844.1	SAMN07192704	Escherichia coli strain EC1515 chromosome, complete genome.	5167363	Escherichia coli strain EC1515 chromosome, complete genome.
CP021846.1	SAMN07192704	Escherichia coli strain EC1515 plasmid pEC1515-2, complete sequence.	92350	Escherichia coli strain EC1515 plasmid pEC1515-2, complete sequence.
CP021871.1	SAMN07162922	Escherichia coli strain H105 plasmid pH105, complete sequence.	134899	Escherichia coli strain H105 plasmid pH105, complete sequence.
CP021879.1	SAMN04014978	Escherichia coli strain AR_0137 chromosome, complete genome.	4746578	Escherichia coli strain AR_0137 chromosome, complete genome.
CP021935.1	SAMN04014896	Escherichia coli strain AR_0055 chromosome, complete genome.	5141314	Escherichia coli strain AR_0055 chromosome, complete genome.
CP022050.2	SAMN06173306	Escherichia coli O157 strain FDAARGOS_293 chromosome, complete genome.	5548751	Escherichia coli O157 strain FDAARGOS_293 chromosome, complete genome.
CP022051.2	SAMN06173306	Escherichia coli O157 strain FDAARGOS_293 plasmid unnamed1, complete sequence.	42641	Escherichia coli O157 strain FDAARGOS_293 plasmid unnamed1, complete sequence.
CP022052.2	SAMN06173306	Escherichia coli O157 strain FDAARGOS_293 plasmid unnamed2, complete sequence.	95288	Escherichia coli O157 strain FDAARGOS_293 plasmid unnamed2, complete sequence.
CP022085.2	SAMN06173361	Escherichia coli O104:H4 strain FDAARGOS_348 plasmid unnamed1, complete sequence.	109945	Escherichia coli O104:H4 strain FDAARGOS_348 plasmid unnamed1, complete sequence.
CP022086.2	SAMN06173361	Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome.	5256950	Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome.
CP022087.2	SAMN06173361	Escherichia coli O104:H4 strain FDAARGOS_348 plasmid unnamed2, complete sequence.	75559	Escherichia coli O104:H4 strain FDAARGOS_348 plasmid unnamed2, complete sequence.
CP022154.1	SAMN07260764	Escherichia coli strain ABWA45 chromosome, complete genome.	5094639	Escherichia coli strain ABWA45 chromosome, complete genome.
CP022164.1	SAMN07273977	Escherichia coli strain M160133 chromosome, complete genome.	4957100	Escherichia coli strain M160133 chromosome, complete genome.
CP022393.1	SAMN07251590	Escherichia coli strain E62 chromosome, complete genome.	4914770	Escherichia coli strain E62 chromosome, complete genome.
CP022407.1	SAMN07339706	Escherichia coli O121:H19 strain 16-9255 chromosome, complete genome.	5397521	Escherichia coli O121:H19 strain 16-9255 chromosome, complete genome.
CP022408.1	SAMN07339706	Escherichia coli O121:H19 strain 16-9255 plasmid punamed1, complete sequence.	81950	Escherichia coli O121:H19 strain 16-9255 plasmid punamed1, complete sequence.
CP022664.1	SAMN07411561	Escherichia coli strain FORC 064 chromosome, complete genome.	4873055	Escherichia coli strain FORC 064 chromosome, complete genome.
CP022686.1	SAMN07451663	Escherichia coli Nissle 1917 chromosome, complete genome.	5055316	Escherichia coli Nissle 1917 chromosome, complete genome.
CP022687.1	SAMN07451663	Escherichia coli Nissle 1917 plasmid pNissle1.	11499	Escherichia coli Nissle 1917 plasmid pNissle1.
CP022688.1	SAMN03256350	Escherichia coli strain CDC#03-98 plasmid p0157, complete sequence.	92032	Escherichia coli strain CDC#03-98 plasmid p0157, complete sequence.
CP022689.1	SAMN03256350	Escherichia coli strain CDC#03-98 chromosome, complete genome.	5406069	Escherichia coli strain CDC#03-98 chromosome, complete genome.
CP022729.1	SAMN04191553	Escherichia coli O157:H7 strain FRIK2533 plasmid p35K, complete sequence.	34689	Escherichia coli O157:H7 strain FRIK2533 plasmid p35K, complete sequence.
CP022730.1	SAMN07411973	Escherichia coli strain SA186 chromosome, complete genome.	4828837	Escherichia coli strain SA186 chromosome, complete genome.
CP022912.1	SAMN02951658	Escherichia coli O6:H16 strain 2011EL-1370-2 chromosome, complete genome.	4785142	Escherichia coli O6:H16 strain 2011EL-1370-2 chromosome, complete genome.
CP023061.1	SAMN07436715	Escherichia coli strain FORC_069 chromosome, complete genome.	5189917	Escherichia coli strain FORC_069 chromosome, complete genome.
CP023142.1	SAMN06928086	Escherichia coli strain CFSAN061770 chromosome, complete genome.	5292297	Escherichia coli strain CFSAN061770 chromosome, complete genome.
CP023165.1	SAMN07594018	Escherichia coli O22:H8 strain RM10809-3 chromosome, complete genome.	5128479	Escherichia coli O22:H8 strain RM10809-3 chromosome, complete genome.
CP023346.1	SAMN07503734	Escherichia coli strain ETEC-2265 chromosome, complete genome.	5088339	Escherichia coli strain ETEC-2265 chromosome, complete genome.
CP023349.1	SAMN07503733	Escherichia coli strain ETEC-2264 chromosome, complete genome.	4972828	Escherichia coli strain ETEC-2264 chromosome, complete genome.
CP023353.1	SAMN07618129	Escherichia coli strain 746 chromosome, complete genome.	5089615	Escherichia coli strain 746 chromosome, complete genome.
CP023357.1	SAMN07618128	Escherichia coli strain 317 chromosome, complete genome.	5035905	Escherichia coli strain 317 chromosome, complete genome.
CP023358.1	SAMN07618128	Escherichia coli strain 317 plasmid p100, complete sequence.	100008	Escherichia coli strain 317 plasmid p100, complete sequence.
CP023359.1	SAMN07618127	Escherichia coli strain 1943 chromosome, complete genome.	4780635	Escherichia coli strain 1943 chromosome, complete genome.
CP023364.1	SAMN07618126	Escherichia coli strain 144 chromosome, complete genome.	5134443	Escherichia coli strain 144 chromosome, complete genome.
CP023366.1	SAMN07618125	Escherichia coli strain 1428 chromosome, complete genome.	4986712	Escherichia coli strain 1428 chromosome, complete genome.
CP023371.1	SAMN07618124	Escherichia coli strain 1283 chromosome, complete genome.	4677088	Escherichia coli strain 1283 chromosome, complete genome.
CP023377.1	SAMN07618123	Escherichia coli strain 127 chromosome, complete genome.	4697886	Escherichia coli strain 127 chromosome, complete genome.
CP023381.1	SAMN07618123	Escherichia coli strain 127 plasmid p91, complete sequence.	91199	Escherichia coli strain 127 plasmid p91, complete sequence.
CP023383.1	SAMN07618122	Escherichia coli strain 1223 chromosome, complete genome.	4716432	Escherichia coli strain 1223 chromosome, complete genome.
CP023386.1	SAMN07618121	Escherichia coli strain 1190 chromosome, complete genome.	4900891	Escherichia coli strain 1190 chromosome, complete genome.
CP023387.1	SAMN07618121	Escherichia coli strain 1190 plasmid p86, complete sequence.	86147	Escherichia coli strain 1190 plasmid p86, complete sequence.
CP023388.1	SAMN07618120	Escherichia coli strain 1105 chromosome, complete genome.	5059652	Escherichia coli strain 1105 chromosome, complete genome.
CP023389.1	SAMN07618120	Escherichia coli strain 1105 plasmid p74, complete sequence.	74094	Escherichia coli strain 1105 plasmid p74, complete sequence.
CP023530.1	SAMN07312445	Escherichia coli strain FDAARGOS_401 plasmid unnamed, complete sequence.	75554	Escherichia coli strain FDAARGOS_401 plasmid unnamed, complete sequence.
CP023531.1	SAMN07312445	Escherichia coli strain FDAARGOS_401 chromosome, complete genome.	5311821	Escherichia coli strain FDAARGOS_401 chromosome, complete genome.
CP023535.1	SAMN07312447	Escherichia coli strain FDAARGOS_403 chromosome, complete genome.	5277336	Escherichia coli strain FDAARGOS_403 chromosome, complete genome.
CP023541.1	SAMN02147037	Escherichia coli O104:H21 str. CFSAN002236 chromosome, complete genome.	4884467	Escherichia coli O104:H21 str. CFSAN002236 chromosome, complete genome.
CP023542.1	SAMN02147037	Escherichia coli O104:H21 str. CFSAN002236 plasmid pO104_H21, complete sequence.	161452	Escherichia coli O104:H21 str. CFSAN002236 plasmid pO104_H21, complete sequence.
CP023552.1	SAMN05520965	Escherichia coli strain FORC_043 plasmid pFORC43, complete sequence.	77422	Escherichia coli strain FORC_043 plasmid pFORC43, complete sequence.
CP023673.1	SAMN07716515	Escherichia coli strain SMN013SH2 chromosome, complete genome.	5143533	Escherichia coli strain SMN013SH2 chromosome, complete genome.
CP023815.1	SAMN07765387	Escherichia coli strain IMT16316 chromosome, complete genome.	4937350	Escherichia coli strain IMT16316 chromosome, complete genome.
CP023816.1	SAMN07765387	Escherichia coli strain IMT16316 plasmid pEcIMT16316, complete sequence.	145883	Escherichia coli strain IMT16316 plasmid pEcIMT16316, complete sequence.
CP023820.1	SAMN07760941	Escherichia coli strain 7/2 chromosome, complete genome.	5099240	Escherichia coli strain 7/2 chromosome, complete genome.
CP023822.1	SAMN07760941	Escherichia coli strain 7/2 plasmid p7_2.2, complete sequence.	42913	Escherichia coli strain 7/2 plasmid p7_2.2, complete sequence.
CP023826.1	SAMN07760938	Escherichia coli strain 4/4 chromosome, complete genome.	5129468	Escherichia coli strain 4/4 chromosome, complete genome.
CP023834.1	SAMN07760933	Escherichia coli strain 4/2-1 chromosome, complete genome.	4735721	Escherichia coli strain 4/2-1 chromosome, complete genome.
CP023844.1	SAMN07760931	Escherichia coli strain 4/1-1 chromosome, complete genome.	5144480	Escherichia coli strain 4/1-1 chromosome, complete genome.
CP023849.1	SAMN07760930	Escherichia coli strain 4/0 chromosome, complete genome.	5243509	Escherichia coli strain 4/0 chromosome, complete genome.
CP023853.1	SAMN07760925	Escherichia coli strain 2/0 chromosome, complete genome.	5174317	Escherichia coli strain 2/0 chromosome, complete genome.
CP023896.1	SAMN07312477	Escherichia coli strain FDAARGOS_433 plasmid unnamed3, complete sequence.	83988	Escherichia coli strain FDAARGOS_433 plasmid unnamed3, complete sequence.
CP023899.1	SAMN07312477	Escherichia coli strain FDAARGOS_433 chromosome, complete genome.	4711093	Escherichia coli strain FDAARGOS_433 chromosome, complete genome.
CP023960.1	SAMN07312492	Escherichia coli strain FDAARGOS_448 chromosome, complete genome.	5169451	Escherichia coli strain FDAARGOS_448 chromosome, complete genome.
CP023961.1	SAMN07312492	Escherichia coli strain FDAARGOS_448 plasmid unnamed2, complete sequence.	96807	Escherichia coli strain FDAARGOS_448 plasmid unnamed2, complete sequence.
CP024056.1	SAMN07767837	Escherichia coli strain SMN197SH3 chromosome, complete genome.	5267207	Escherichia coli strain SMN197SH3 chromosome, complete genome.
CP024090.1	SAMN07819355	Escherichia coli strain WG5 chromosome, complete genome.	4592887	Escherichia coli strain WG5 chromosome, complete genome.
CP024127.1	SAMN07792806	Escherichia coli strain 14EC001 chromosome, complete genome.	5072975	Escherichia coli strain 14EC001 chromosome, complete genome.
CP024131.1	SAMN07807399	Escherichia coli strain 14EC007 chromosome, complete genome.	5084741	Escherichia coli strain 14EC007 chromosome, complete genome.
CP024134.1	SAMN07807400	Escherichia coli strain 14EC017 chromosome, complete genome.	5199281	Escherichia coli strain 14EC017 chromosome, complete genome.
CP024138.1	SAMN07807401	Escherichia coli strain 14EC020 chromosome, complete genome.	4914884	Escherichia coli strain 14EC020 chromosome, complete genome.
CP024141.1	SAMN07807402	Escherichia coli strain 14EC029 chromosome, complete genome.	4981062	Escherichia coli strain 14EC029 chromosome, complete genome.
CP024147.1	SAMN07807403	Escherichia coli strain 14EC033 chromosome, complete genome.	4639454	Escherichia coli strain 14EC033 chromosome, complete genome.
CP024155.1	SAMN07807404	Escherichia coli strain 14EC047 chromosome, complete genome.	5060393	Escherichia coli strain 14EC047 chromosome, complete genome.
CP024223.1	SAMN07509121	Escherichia coli O169:H41 strain 2014EL-1345-2 chromosome, complete genome.	4943397	Escherichia coli O169:H41 strain 2014EL-1345-2 chromosome, complete genome.
CP024228.1	SAMN04578538	Escherichia coli O25:NM strain 2014EL-1343-2 chromosome, complete genome.	4848034	Escherichia coli O25:NM strain 2014EL-1343-2 chromosome, complete genome.
